SymbolicKey,ParameterPath,Found,MatchedVariant,URLs,PageFamilies,SpecialCommandHint,SpecialCommandTerms,SpecialCommandURL,Reason
NETWORK_DHCP_TO,/Device/Config/Networking/Wifi/Dhcp/To,no,,,specialCommands,yes,channel;dante;dhcp;dns;gateway;ip,https://download.powersoft.it/temp/Unica/3dparty/specialCommands.html,likely on non-audio doc pages; path naming may differ
NETWORK_DNS,/Device/Config/Networking/Ethernet/Dns,no,,,specialCommands,yes,channel;dante;dhcp;dns;ethernet;gateway,https://download.powersoft.it/temp/Unica/3dparty/specialCommands.html,container node; docs may reference children differently
NETWORK_GATEWAY,/Device/Config/Networking/Ethernet/Gateway,no,,,specialCommands,yes,channel;dante;dhcp;dns;ethernet;gateway,https://download.powersoft.it/temp/Unica/3dparty/specialCommands.html,likely on non-audio doc pages; path naming may differ
NETWORK_NETMASK,/Device/Config/Networking/Ethernet/Netmask,no,,,specialCommands,yes,channel;dante;dhcp;dns;ethernet;gateway,https://download.powersoft.it/temp/Unica/3dparty/specialCommands.html,likely on non-audio doc pages; path naming may differ
NETWORK_WIFI_ESSID,/Device/Config/Networking/Wifi/Ssid,no,,,specialCommands,yes,channel;dante;dhcp;dns;gateway;ip,https://download.powersoft.it/temp/Unica/3dparty/specialCommands.html,likely on non-audio doc pages; path naming may differ
NETWORK_WIFI_PASSWORD,/Device/Config/Networking/Wifi/Security/Passphrase,no,,,specialCommands,yes,channel;dante;dhcp;dns;gateway;ip,https://download.powersoft.it/temp/Unica/3dparty/specialCommands.html,likely on non-audio doc pages; path naming may differ
NETWORK_WIFI_SECURITY,/Device/Config/Networking/Wifi/Security/Type,yes,Type/Value,https://download.powersoft.it/temp/Unica/3dparty/amplifierSettings.html,amplifierSettings,no,,,loose variant matched
NETWORK_WIFI_BAND,/Device/Config/Networking/Wifi/Mode,no,,,specialCommands,yes,channel;dante;dhcp;dns;gateway;ip,https://download.powersoft.it/temp/Unica/3dparty/specialCommands.html,likely on non-audio doc pages; path naming may differ
NETWORK_WIFI_CHANNEL,/Device/Config/Networking/Wifi/Channel,yes,Channel/Value,https://download.powersoft.it/temp/Unica/3dparty/amplifierSettings.html,amplifierSettings,no,,,loose variant matched
NETWORK_WIFI_REGION,/Device/Config/Networking/Wifi/Country,no,,,specialCommands,yes,channel;dante;dhcp;dns;gateway;ip,https://download.powersoft.it/temp/Unica/3dparty/specialCommands.html,likely on non-audio doc pages; path naming may differ
OUTPUT_CHANNEL_ALARM,/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-{0}/AuxLineDiagnostic/OutputImpedanceMeasure/Enable,yes,Enable/Value,https://download.powersoft.it/temp/Unica/3dparty/amplifierSettings.html,amplifierSettings,no,,,loose variant matched
